timestamp_sec,latitude,longitude,altitude,speed_ms,drag_force_n,thrust_force_n,battery_pct,motor_temp_c
0,50.4501,-104.61580000000001,10.0,10.01,3.07,14.8,100.0,25.2
1,50.45014499733339,-104.61579539998667,10.79,10.07,3.1,15.47,99.7,24.5
2,50.45018997866838,-104.61579159978668,11.57,8.96,2.46,14.23,99.4,25.4
3,50.450234928012954,-104.61578859892013,12.36,9.36,2.69,15.08,99.2,25.1
4,50.45027982938794,-104.6157863965874,13.14,8.83,2.39,14.41,98.9,25.9
5,50.450324666833296,-104.61578499166946,13.93,10.13,3.15,15.35,98.6,25.7
6,50.45036942441458,-104.6157843827283,14.71,10.57,3.42,15.33,98.3,26.4
7,50.45041408622929,-104.61578456800758,15.49,9.56,2.8,14.58,98.0,25.9
8,50.450458636413224,-104.61578554543325,16.28,9.34,2.67,15.47,97.8,26.5
9,50.450503059146854,-104.61578731261443,17.06,9.87,2.98,15.66,97.5,26.7
10,50.45054733866159,-104.61578986684432,17.84,9.93,3.02,15.38,97.2,26.4
11,50.45059145924616,-104.61579320510134,18.62,10.04,3.09,15.07,96.9,27.2
12,50.450635405252854,-104.61579732405029,19.4,9.22,2.6,14.56,96.6,26.9
13,50.450679161103785,-104.61580222004373,20.18,10.25,3.22,15.05,96.4,26.8
14,50.450722711297125,-104.61580788912339,20.96,9.7,2.88,15.2,96.1,27.7
15,50.45076604041333,-104.61581432702175,21.73,9.68,2.87,15.15,95.8,28.2
16,50.450809133121226,-104.61582152916384,22.51,9.52,2.78,14.7,95.5,27.4
17,50.45085197418428,-104.61582949066894,23.28,10.35,3.28,15.08,95.2,28.6
18,50.45089454846655,-104.61583820635265,24.05,10.01,3.07,14.72,95.0,28.5
19,50.45093684093883,-104.61584767072885,24.82,8.91,2.43,14.62,94.7,28.6
20,50.45097883668462,-104.615857878012,25.59,9.65,2.85,14.35,94.4,28.7
21,50.45102052090611,-104.61586882211937,26.36,10.24,3.21,15.4,94.1,28.7
22,50.45106187893013,-104.61588049667355,27.13,10.49,3.37,15.36,93.8,28.8
23,50.45110289621393,-104.61589289500496,27.89,9.44,2.73,14.97,93.6,29.3
24,50.451143558351085,-104.61590601015445,28.65,9.88,2.99,15.22,93.3,28.7
25,50.451183851077204,-104.61591983487622,29.41,10.26,3.23,15.33,93.0,29.4
